topic1|topic2|topic3|topic4|topic5|topic6|topic7|topic8|topic9|topic10|topic11|topic12|topic13|topic14|topic15|topic16|topic17|topic18|topic19|topic20|persona|user_id
2|0|0|0|0|0|0|0|0|0|6|1|0|0|0|0|0|0|0|0|0|1
3|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|6|0|11|2
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|0|1|3
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|1|1|4
0|0|0|0|6|0|2|0|0|0|2|0|0|0|0|0|0|0|0|0|22|5
1|0|1|0|0|0|0|3|1|0|0|0|0|0|0|0|5|0|0|0|7|6
0|0|0|0|1|0|3|4|0|0|0|2|0|0|0|0|0|0|0|0|5|7
0|0|0|9|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|10|8
0|0|0|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|3|3|12|9
0|0|0|0|0|0|0|4|0|0|0|0|0|2|0|0|4|0|0|0|7|10
0|2|0|0|0|0|0|0|0|0|1|0|4|0|0|0|0|0|0|1|14|11
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|12|12
0|1|0|2|1|0|1|2|0|0|0|0|1|0|1|1|0|0|0|0|4|13
1|4|0|0|0|0|0|0|4|1|0|0|0|0|0|0|0|0|0|0|17|14
1|0|0|0|0|0|0|0|0|5|0|0|0|0|0|1|0|0|3|0|2|15
0|0|0|1|0|0|0|2|2|0|2|1|0|0|0|0|0|0|0|2|7|16
2|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|4|0|2|17
1|3|0|0|0|1|0|3|0|0|0|0|0|0|0|0|2|0|0|0|17|18
0|2|0|0|0|0|0|0|0|0|4|0|0|0|0|4|0|0|0|0|0|19
0|0|0|0|7|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|22|20
0|0|0|0|0|0|5|0|0|1|0|0|0|0|0|1|0|0|3|0|16|21
0|0|0|7|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|10|22
1|3|0|0|3|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|17|23
0|0|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|20|24
0|0|0|0|0|0|0|3|6|1|0|0|0|0|0|0|0|0|0|0|3|25
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|5|0|2|26
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|27
0|0|0|0|0|0|7|0|1|0|2|0|0|0|0|0|0|0|0|0|16|28
0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|7|0|0|0|0|1|29
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|13|30
0|0|0|0|0|0|0|3|0|0|0|0|0|3|0|3|0|0|0|0|21|31
0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|6|0|2|32
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|33
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|1|0|1|34
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|35
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|36
0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|37
0|0|0|0|5|0|1|0|0|0|0|0|4|0|0|0|0|0|0|0|4|38
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|0|2|0|1|39
0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|1|40
0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|0|3|0|0|0|3|41
0|0|0|0|6|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1|22|42
0|0|0|0|2|0|0|0|1|2|0|0|3|0|0|0|0|1|0|0|14|43
0|0|0|0|2|0|1|0|0|0|6|0|0|0|0|0|0|0|0|1|0|44
0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|9|45
