user_id|movie_id|rating|persona
186|302|3|9
22|377|1|9
244|51|2|13
166|346|1|2
298|474|4|3
115|265|2|13
253|465|5|4
305|451|3|19
6|86|3|6
62|257|2|4
286|1014|5|5
200|222|5|5
210|40|3|3
224|29|3|7
303|785|3|5
122|387|5|7
194|274|2|20
291|1042|4|22
234|1184|2|10
119|392|4|21
167|486|4|10
299|144|4|19
291|118|2|22
308|1|4|20
95|546|2|20
38|95|5|16
102|768|2|9
63|277|4|17
160|234|5|6
50|246|3|17
301|98|4|22
225|193|4|10
290|88|4|4
97|194|3|3
157|274|4|0
181|1081|1|21
278|603|5|12
276|796|1|5
7|32|4|5
10|16|4|3
284|304|4|2
201|979|2|19
276|564|3|5
287|327|5|13
246|201|5|22
242|1137|5|17
249|241|5|13
99|4|5|13
178|332|3|9
251|100|4|18
81|432|2|0
260|322|4|2
25|181|5|4
59|196|5|20
72|679|2|3
87|384|4|5
290|143|5|4
42|423|5|5
292|515|4|6
115|20|3|13
20|288|1|4
201|219|4|19
13|526|3|5
246|919|4|22
138|26|5|3
167|232|1|10
60|427|5|10
57|304|5|21
223|274|4|21
189|512|4|10
243|15|3|7
92|1049|1|22
246|416|3|22
194|165|4|20
241|690|2|2
178|248|4|9
254|1444|3|5
293|5|3|20
127|229|5|18
225|237|5|10
299|229|3|19
225|480|5|10
276|54|3|5
291|144|5|22
222|366|4|5
267|518|5|4
42|403|3|5
11|111|4|7
95|625|4|20
8|338|4|9
162|25|4|21
87|1016|4|5
279|154|5|22
145|275|2|22
119|1153|5|21
62|498|4|4
62|382|3|4
28|209|4|11
135|23|4|11
32|294|3|0
90|382|5|10
286|208|4|5
293|685|3|20
216|144|4|13
166|328|5|2
250|496|4|4
271|132|5|3
160|174|5|6
265|118|4|0
198|498|3|4
42|96|5|5
168|151|5|0
110|307|4|5
58|144|4|19
90|648|4|10
271|346|4|3
62|21|3|4
279|832|3|22
237|514|4|3
94|789|4|5
128|485|3|20
298|317|4|3
44|195|5|4
264|200|5|15
194|385|2|20
72|195|5|3
222|750|5|5
250|264|3|4
41|265|3|3
224|245|3|7
82|135|3|3
262|1147|4|5
293|471|3|20
216|658|3|13
250|140|3|4
59|23|5|20
286|379|5|5
244|815|4|13
7|479|4|5
174|368|1|14
87|274|4|5
194|1211|2|20
82|1134|2|3
13|836|2|5
13|272|4|5
244|756|2|13
305|427|5|19
95|787|2|20
43|14|2|4
299|955|4|19
57|419|3|21
84|405|3|21
269|504|4|19
299|111|3|19
194|466|4|20
160|135|4|6
99|268|3|13
10|486|4|3
259|117|4|13
85|427|3|10
303|919|4|5
213|273|5|4
121|514|3|7
90|98|5|10
49|559|2|19
42|794|3|5
155|323|2|2
68|117|4|0
172|177|4|10
19|4|4|15
268|231|4|22
5|2|3|5
305|117|2|19
44|294|4|4
43|137|4|4
279|1336|1|22
80|466|5|3
254|164|4|5
298|281|3|3
279|1240|1|22
66|298|4|0
18|443|3|10
268|1035|2|22
99|79|4|13
13|98|4|5
26|258|3|0
7|455|4|5
222|755|4|5
200|673|5|5
119|328|4|21
213|172|5|4
276|322|3|5
94|1217|3|5
130|379|4|22
38|328|4|16
160|719|3|6
293|1267|3|20
26|930|2|0
130|216|4|22
92|1079|3|22
256|452|4|22
1|61|4|4
72|48|4|3
56|755|3|5
13|360|4|5
15|405|2|21
92|77|3|22
207|476|2|13
292|174|5|6
232|483|5|3
251|748|2|18
224|26|3|7
181|220|4|21
259|255|4|13
305|471|4|19
52|280|3|17
161|202|5|3
148|408|5|4
125|235|2|15
97|228|5|3
58|1098|4|19
83|234|4|16
90|347|4|10
272|178|5|3
194|181|3|20
125|478|4|15
110|688|1|5
299|14|4|19
151|10|5|10
269|127|4|19
6|14|5|6
54|106|3|21
303|69|5|5
16|944|1|9
301|790|4|22
276|1091|3|5
305|214|2|19
194|1028|2|20
91|323|2|3
87|554|4|5
294|109|4|21
286|171|4|5
200|318|5|5
229|328|1|2
178|568|4|9
303|842|2|5
62|65|4|4
207|591|3|13
92|172|4|22
301|401|4|22
36|339|5|2
70|746|3|4
63|242|3|17
28|201|3|11
279|68|4|22
250|7|4|4
14|98|3|17
299|1018|3|19
194|54|3|20
303|815|3|5
119|237|5|21
295|218|5|20
268|930|2|22
268|2|2|22
66|258|4|0
233|202|5|3
83|623|4|16
214|334|3|6
192|476|2|0
100|344|4|2
268|145|1|22
301|56|4|22
307|89|5|4
234|141|3|10
83|576|4|16
181|264|2|21
297|133|4|4
38|153|5|16
7|382|4|5
264|813|4|15
181|872|1|21
201|146|1|19
85|507|4|10
269|367|3|19
59|468|3|20
286|143|4|5
193|96|1|5
113|595|5|21
292|11|5|6
130|1014|3|22
275|98|4|9
189|520|5|10
219|82|1|19
218|209|5|15
123|427|3|6
119|222|5|21
158|177|4|9
222|118|4|5
302|322|2|2
279|501|3|22
301|79|5|22
181|3|2|21
201|695|1|19
13|198|3|5
1|189|3|4
145|237|5|22
23|385|4|4
201|767|4|19
296|705|5|6
42|546|3|5
33|872|3|2
301|554|3|22
16|64|5|9
95|135|3|20
154|357|4|6
77|484|5|4
296|508|5|6
302|303|2|2
244|673|3|13
222|77|4|5
13|215|5|5
16|705|5|9
270|452|4|17
145|15|2|22
187|64|5|7
200|304|5|5
170|749|5|2
101|829|3|0
184|218|3|7
128|204|4|20
181|1295|1|21
184|153|3|7
1|33|4|4
1|160|4|4
184|321|5|7
54|595|3|21
94|343|4|5
128|508|4|20
23|323|2|4
301|227|3|22
301|191|3|22
112|903|1|2
82|183|3|3
222|724|3|5
218|430|3|15
308|1197|4|20
303|134|5|5
133|751|3|2
215|212|2|3
69|256|5|13
254|662|4|5
276|2|4|5
104|984|1|21
63|1067|3|17
267|410|4|4
13|56|5|5
240|879|3|2
286|237|2|5
294|271|5|21
90|1086|4|10
18|26|4|10
92|229|3|22
308|649|4|20
144|89|3|13
191|302|4|2
59|951|3|20
200|96|5|5
16|197|5|9
61|678|3|2
271|199|4|3
271|709|3|3
142|169|5|4
275|597|3|9
222|151|3|5
87|40|3|5
207|258|4|13
272|1393|2|3
177|333|4|13
207|1115|2|13
299|577|3|19
271|378|4|3
305|425|4|19
49|959|2|19
94|1224|3|5
130|1017|3|22
10|175|3|3
203|321|3|0
191|286|4|2
43|323|3|4
21|558|5|11
197|96|5|9
13|344|2|5
194|66|3|20
234|206|4|10
308|402|4|20
308|640|4|20
269|522|5|19
94|265|4|5
268|62|3|22
272|12|5|3
121|291|3|7
296|20|5|6
134|286|3|12
180|462|5|4
234|612|3|10
104|117|2|21
38|758|1|16
269|845|1|19
7|163|4|5
234|1451|3|10
275|405|2|9
52|250|3|17
102|823|3|9
13|186|4|5
178|731|4|9
236|71|3|3
256|781|5|22
263|176|5|3
244|186|3|13
279|1181|4|22
43|815|4|4
83|78|2|16
151|197|5|10
254|436|2|5
109|631|3|5
297|716|3|4
249|188|4|13
144|699|4|13
301|604|4|22
64|392|3|4
92|501|2|22
222|97|4|5
268|436|3|22
293|135|5|20
213|173|5|4
160|460|2|6
13|498|4|5
59|715|5|20
5|17|4|5
125|163|5|15
174|315|5|14
114|505|3|3
213|515|4|4
23|196|2|4
128|15|4|20
239|56|4|10
181|279|1|21
291|80|4|22
250|238|4|4
201|649|3|19
60|60|5|10
181|325|2|21
119|407|3|21
287|1|5|13
216|228|3|13
216|531|4|13
203|471|4|0
92|587|3|22
13|892|3|5
213|176|4|4
286|288|5|5
117|1047|2|22
99|111|1|13
11|558|3|7
65|47|2|7
295|194|4|20
269|217|2|19
85|259|2|10
250|596|5|4
137|144|5|18
201|960|2|19
257|137|4|8
111|328|4|2
91|480|4|3
215|211|4|3
181|938|1|21
189|1060|5|10
1|20|4|4
303|404|4|5
299|305|3|19
187|210|4|7
222|278|2|5
214|568|4|6
293|770|3|20
285|191|4|12
303|252|3|5
96|156|4|3
72|1110|3|3
115|1067|4|13
7|430|3|5
116|350|3|12
73|480|4|6
269|246|5|19
263|419|5|3
70|431|3|4
221|475|4|13
72|182|5|3
25|357|4|4
290|50|5|4
189|526|4|10
299|303|3|19
264|294|3|15
200|365|5|5
187|135|4|7
184|187|4|7
63|289|2|17
13|229|4|5
298|486|3|3
235|185|4|10
62|712|4|4
246|94|2|22
54|742|5|21
63|762|3|17
11|732|3|7
92|168|4|22
8|550|3|9
307|174|4|4
303|200|4|5
256|849|2|22
72|54|3|3
164|406|2|21
117|150|4|22
224|77|4|7
193|869|3|5
94|184|2|5
281|338|2|2
130|109|3|22
128|371|1|20
94|720|1|5
182|845|3|21
129|873|1|2
254|229|4|5
64|381|4|4
151|176|2|10
45|25|4|0
193|879|3|5
276|922|4|5
276|57|3|5
234|187|4|10
181|306|1|21
21|370|1|11
293|249|3|20
264|721|5|15
10|611|5|3
197|346|3|9
276|142|3|5
308|427|4|20
221|943|4|13
131|126|4|8
268|824|2|22
109|8|3|5
198|58|3|4
230|680|4|4
181|741|1|21
192|1061|4|0
234|448|3|10
90|900|4|10
193|941|4|5
128|603|5|20
126|905|2|2
244|265|4|13
90|289|3|10
157|25|3|0
305|71|3|19
119|382|5|21
21|222|2|11
231|181|4|0
280|508|3|5
288|132|3|3
279|1497|2|22
301|33|4|22
72|699|3|3
90|259|2|10
308|55|3|20
59|742|3|20
94|744|4|5
130|642|4|22
26|1015|3|0
56|121|5|5
82|508|2|3
62|12|4|4
276|40|3|5
181|1015|1|21
152|301|3|14
178|845|4|9
217|597|4|9
79|303|4|8
138|484|4|3
308|81|5|20
75|284|2|0
269|198|4|19
307|94|3|4
222|781|3|5
121|740|3|7
269|22|1|19
13|864|4|5
230|742|5|4
269|507|4|19
239|1099|5|10
245|1028|5|0
56|546|3|5
295|961|5|20
271|1028|2|3
222|812|2|5
69|240|3|13
10|7|4|3
22|376|3|9
294|931|3|21
82|717|1|3
279|399|4|22
269|234|1|19
6|98|5|6
243|1039|4|7
298|181|4|3
282|325|1|2
78|323|1|21
118|200|5|6
283|1114|5|15
171|292|4|2
70|217|4|4
10|100|5|3
245|181|4|0
107|333|3|2
246|561|1|22
13|901|1|5
276|70|4|5
244|17|2|13
189|56|5|10
226|242|5|18
62|1016|4|4
276|417|4|5
214|478|4|6
306|235|4|8
222|26|3|5
280|631|5|5
60|430|5|10
56|71|4|5
42|274|5|5
1|202|5|4
13|809|4|5
173|289|4|2
15|749|1|21
185|23|4|1
280|540|3|5
244|381|4|13
150|293|4|0
7|497|4|5
178|317|4|9
178|742|3|9
95|1217|3|20
234|1462|3|10
97|222|5|3
109|127|2|5
117|268|5|22
269|705|2|19
130|1246|3|22
264|655|4|15
207|13|3|13
42|588|5|5
246|409|2|22
87|367|4|5
101|304|3|0
256|127|4|22
92|794|3|22
181|762|2|21
213|235|1|4
92|739|2|22
292|661|5|6
246|665|4|22
274|845|5|21
188|692|5|9
18|86|4|10
5|439|1|5
236|632|3|3
193|407|4|5
144|709|4|13
90|1198|5|10
48|609|4|3
5|225|2|5
22|128|5|9
311|432|4|20
8|22|5|9
276|188|4|5
222|173|5|5
72|866|4|3
299|134|4|19
1|171|5|4
308|295|3|20
165|216|4|1
222|49|3|5
181|121|4|21
200|11|5|5
234|626|4|10
244|707|4|13
90|25|5|10
208|216|5|15
263|96|4|3
134|323|4|12
279|586|4|22
2|292|4|17
288|593|2|3
49|302|4|19
286|153|5|5
205|304|3|2
22|80|4|9
234|318|4|10
223|328|3|21
15|25|3|21
268|147|4|22
94|1220|3|5
274|405|4|21
7|492|5|5
268|217|2|22
16|55|5|9
164|620|3|21
290|161|4|4
92|515|4|22
239|1070|5|10
56|449|5|5
248|234|4|4
234|10|3|10
280|1049|2|5
308|187|5|20
276|64|5|5
192|948|3|0
122|509|4|7
85|588|3|10
262|931|2|5
201|272|3|19
181|870|2|21
295|739|4|20
263|568|4|3
295|39|4|20
201|1100|4|19
93|820|3|0
159|1028|5|0
158|665|2|9
293|423|3|20
82|597|3|3
276|181|5|5
13|823|5|5
217|2|3|9
83|660|4|16
189|20|5|10
222|796|4|5
146|1022|5|2
267|121|3|4
126|294|3|2
181|1060|1|21
125|80|4|15
43|120|4|4
13|780|1|5
253|259|2|4
42|44|3|5
77|518|4|4
291|686|5|22
268|21|3|22
262|28|3|5
234|81|3|10
29|245|3|12
236|57|5|3
158|729|3|9
156|661|4|3
232|52|5|3
168|866|5|0
37|288|4|9
141|245|3|0
235|230|4|10
102|70|3|9
77|172|3|4
90|506|5|10
186|566|5|9
44|660|5|4
118|774|5|6
7|661|5|5
49|1003|2|19
62|68|1|4
42|1028|4|5
178|433|4|9
85|51|2|10
77|474|5|4
58|1099|2|19
56|1047|4|5
197|688|1|9
286|99|4|5
90|258|3|10
181|1288|1|21
295|190|4|20
224|69|4|7
272|317|4|3
221|1010|3|13
66|877|1|0
207|318|5|13
234|487|3|10
7|648|5|5
87|82|5|5
195|1052|1|19
44|449|5|4
306|287|4|8
194|172|3|20
94|62|3|5
167|659|4|10
108|100|4|21
230|304|5|4
181|927|1|21
54|302|4|21
90|22|4|10
181|696|2|21
286|357|4|5
14|269|4|17
311|179|2|20
92|121|5|22
21|440|1|11
244|550|1|13
181|405|4|21
65|806|4|7
37|540|2|9
44|443|5|4
244|183|4|13
1|265|4|4
270|25|5|17
299|387|2|19
94|572|3|5
286|746|4|5
239|272|5|10
216|55|5|13
254|121|3|5
62|665|2|4
178|385|4|9
194|23|4|20
268|955|3|22
188|143|5|9
276|294|4|5
158|1098|4|9
207|845|3|13
161|48|1|3
305|654|4|19
47|324|3|2
64|736|4|4
191|751|3|2
7|378|5|5
59|92|5|20
69|268|5|13
10|461|3|3
21|129|4|11
58|9|4|19
194|152|3|20
7|200|5|5
113|126|5|21
173|328|5|2
95|233|4|20
16|194|5|9
59|323|4|20
311|654|3|20
292|589|4|6
43|203|4|4
79|50|4|8
235|70|5|10
125|190|5|15
284|322|3|2
303|161|5|5
254|378|3|5
255|1034|1|11
104|301|2|21
90|923|5|10
6|463|4|6
279|122|1|22
286|298|4|5
222|448|3|5
297|57|5|4
42|625|3|5
130|1217|4|22
254|357|3|5
109|475|1|5
230|1444|2|4
244|310|3|13
6|301|2|6
36|748|4|2
256|443|3|22
102|515|1|9
104|285|4|21
21|447|5|11
111|301|4|2
18|408|5|10
25|222|4|4
110|944|3|5
270|98|5|17
68|237|5|0
83|215|4|16
6|258|2|6
89|216|5|7
128|317|4|20
305|512|4|19
184|412|2|7
286|175|5|5
279|1428|3|22
256|86|5|22
221|48|5|13
140|332|3|2
190|977|2|21
11|227|3|7
201|203|5|19
150|181|5|0
126|245|3|2
20|208|2|4
144|742|4|13
181|930|1|21
109|566|4|5
85|1065|3|10
213|133|3|4
222|379|1|5
223|11|3|21
215|421|4|3
218|208|3|15
174|937|5|14
275|186|3|9
